description,unit
Removing of damaged reinforced cement concrete and disposing the debris it a for off distance all incidental and operational charges cost and conveyance of all labour and materials at site of work complete as diercted by the Engineer-In-Charge. lintels over lights pits,
"Removing of damaged CC with power drilling machine and cleaning the dismantled materials for away from site including hire charges of drilling machine,T&P cost and conveyance of all labour and materials at site of work complete as directed by the Engineer In Charge. More than 150 mm thickness Base inside pit 150mm top sides pits Top end of the pits For sides",
Removing of damaged RR masonary in cement mortor and stacking useful material for reuse and disposing the debris to a for off distance all incidental and oprational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer In Charge Long walls End walls,
Removing of damaged brick masonary in cement mortor and stacking useful material for reuse and disposing the debris to a for off distance all incidental and oprational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer In Charge Sides,
"Supply & filling of sand including watering,compacting all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-In- charge Under pcc End of pits Sides of pits",
"Providing and laying plain cement concrete 1:3:6 prop.(1cement:3 sand:6metal)using 40 mm guage hard granite machine crushed metal conforming to IS 383-1970 in foundation and for BED of flooring including machine mixing,disposing in position,ramming,finishing, curing including all incidental operational and cost and conveyance of all labour and materials at site of work complete as directed by the Engineer In Charge. For bed in pit Top sides",
"Providing reinforced cement condrete 1:1 1/2:3 pro (1cement:1 1/2 sand:3metal) using 70% of 20mm gauge hard granite machine crushed metal including labour charges for machine mixing,centering laying concrete,compacting,vibrating,rendaring,fine finishing,curing, conforming to IS 456-1978 including all incidental A) for pit base B) for walls Sides ends Light point C) Lintels D)Sides beams",
"Providing and laying pain cement concrete 1:2:4 prop. Using 20mm hard granite machine crushed metal for bed of flooring including Machine mixing depositing in position ramming, vibration curing all incidental and operational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-In-Charge. (a) For Steps b)End of pits screening on base",
"proving impervious plastering to inspection pit in CM1:3 prop (1cement:3sand)of 20 mm thick including cost of impervious compou- nd and labour charges for applyingcement slurry to the sureface before plastering cleaning the surface,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge For Base For Long Walls For Short Walls For steps For Lights pits",
"proving plastering to inspection pit in CM1:4 prop (1cement:4sand)of 20 mm thick including cost and labour charges for applyingcement slurry to the sureface before plastering cleaning the surface,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge Sides",
"Supply and fabrication errection of MS angle of size 50x50x6mm for fixing at edge of steps,including transportation charges,hire charges of T&P,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-In-Charge For steps",
"Supply and fabrication of tor steel of vishaka/Tata steel/Thirupathi TMT or any ISI marked or ISO approved makes including cutting,bending, tying grills as per design,cost of binding wires,loading and transporta- tion the site of work including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-In- Charge. For lintel and Wall and base",
Transportation of dismantled makes to dutao of 5km away from site including loading in loading cost and conveyance of all labour and materials at site of work complete. a) transportation by head load upto 150 mt b)Tranporation upto 5km,
Supply of FOSROCK chemical as bonding ajent for concrete including trasportation of materials to the site of work cost and conveyance of all labour and materials at site of work complete Complast XL,
"Providing and laying of 3mm thick APP modified bitumen membrane treatment to the duly cleaning the surface from dirt, dust and other contaminations and application of one coat of bitumen primer, providing and laying 3mm thick APP modified bitumen membrane with 100 mm over lap margin and fixing with bitumen torch etc., complete as ditected by the Engineer-In-charge. (Make Dr.Fixit Torch shield/Asian and APP). Inspection pit bottom Walls Lights points Add seignorage charges Particulars",
"Engaging of mechanical excavator including cost and conveyance of all labour and materials at site of work complete as directed by Engineer-In-Charge. For site clearence,cutting of trees and approch",
"supplying and stocking 40mm. Guage IRC hand broken hard granite metal brought from approved quarry including stacking to departmental guage for premesurements,all incidental operational charges, cost and conveyance of all labour and materials at site of work complete as dorected by the Engineer in-charge Near hostel bore East & west side of exsiting bore well near hotel blocks",
"supplying and stocking 20mm. Guage IRC hand broken hard granite metal brought from approved quarry including stacking to departmental guage for premesurements,all incidental operational charges, cost and conveyance of all labour and materials at site of work complete as dorected by the Engineer in-charge Near hostel bore East & west side of exsiting bore well near hotel blocks",
"Supply and stacking sand brought from approved quarry including stacking to departmental guage for premesurements, all inciden tal operational charges,cost and conveyance of all labour and o materials at site of work coplete as directed by the Enginee - in-charge Near hostel bore East & west side of exsiting bore well near hotel blocks",
"Providing solid block brick masonary CM1:6 pro. (1cement:6sand) superstructure including curing and all incidental operational scaffolding and lift charges, cost and conveyance of all labour and material at site of work complete as directed by the Enginee r - in- charge. For pipe suports Near hostel bore East & west side of exsiting bore well near hotel blocks",
Labour for filling sand & metal including hire charges of tools cost and conveyance of all labour and materials at site of work complete as directed by the Ingineer-In-Charge. For inkudu gunthalu,
Supply and fixing following PVC pipe & fitting approved make including cost and conveyance of all labour and materials at site of work complete. B)160mm dia 'L' Add Seigniorage charges Particulars,
Labour charges for removing the damaged pvc 4'' pipe including hire charges of tools cost stacking the useful materials cost and conveyance of all labour and materials at site of work complete Behind toilet,
Labour charges for removing the damaged GI pipe including hire charges of tools cost stacking the useful materials cost and conveyance of all labour and materials at site of work complete a)3/4'' dia GI pipe on side toilet b)1'' dia GI pipe on side tiolet,
Supply and fixing PVC pluming pipe and acessories of approved make including cost and conveyance of all labour and materials at site of work complete. a)1'' dia PVC plumbing pipe gents toilet supervisor toilet ladies toilet near water tank out side toilet west side south side b) 1'' dia PVC 'L' gents toilet supervisor toilet ladies toilet Near water tank c)1'' dia PVC 'T' gents toilet supervisor toilet ladies toilet Near water tank d) 1''x1/2'' dia PVC brass 'L' gents toilet supervisor toilet ladies toilet Ball vall e)1''x1/2'' dia PVC brass 'T' gents toilet f)1''x1/2'' dia PVC brass FTA gents toilet supervisor toilet ladies toilet g)1'' dia PVC couypling Near water tank h)1'' dia GI clamp@ with nail gents toilet supervisor toilet ladies toilet Near water tank i)Holes in brick masonary and Finishing the same gents toilet supervisor toilet ladies toilet j) Polo 1/2'' long body taps gents toilet supervisor toilet ladies toilet k) PVC 1'' dia valve ball,
Labour charges for removing and refixing of urinals bowl& including hire charges of tools cost and conveyance of all labour and materials at site of work complete. On gents toilet,
Supply and fixing 38.10 mm dia PVC solid waste pipe out at cost and conveyance of all labour and materials at site of work complete. On gents toilet,
Supply and fixing 12.70 mm dia PVC cannection with brass union nut cp coated conveyance of all labour and materials at site of work complete. On gents toilet,
Supply and fixing PVC angle value polo make cost and conveyance of all labour of all labour and materials at site of work complete. Supervisor toilet Gents toilet,
Labour charges for removing and refixing 2000 litters sintex including hire charges of tools cost and conveyance of all and labour and materials at site of work complete. East side of toilet,
Labour charges for cleaning the manhole chamber including cost including hire charges of tools cost and conveyance of all and labour and materials at site of work complete. For toilet to septic tank,
Refilling of excavated soils as for standard including hire charges tools cost and conveyance of all labour and materials at site of work complete.,
"Supply and fixing 110 mm dia 4kg/cm2 pvc pipe including,cost and conveyance of all labour and material at site of work complete.",
Supply and fixing napaw stone wash bashin 2' x 1 1/2' size including waste coupling and solid waste pipe cost and conveyance of all labour and materials at site of work complete. Particulars,
Labour charges for cleaning the NIGHT SOIL chambers including cost of phenyle and tools cost and conveyance of all labour and materials at site of work complete Ladies toilet chambers at open site,
Labour charges for dismantalling the damaged R.R masonary with cement mortor and disposing the same to far off distance including hire charges of scaffolding cost and conveyance of all labour and materials at site of work labour and materials at site of work West side of site,
Labour charges for removing the old damaged SWR pipes including hire charges of scaffolding cost and conveyance of all labour and materials at site of work complete. South side wall of abondend ladies toilet,
Labour charges for removing the damaged RCC jallies and disposing tha same to far off distance including hire charges of scaffolding cost and conveyance of all labour and materials at site of work complete. East side wall,
"supply and filling of sand in foundation,basement and sides of foundation in 150mm thick layers complying with standard specification including watering consolidation ,cost and conveyance of all labour and material at site of work complete as directed by the engineer-in charge Long walls Short wall West side wall For pipe line In basement",
"Providing and laying plain cement concrete 1:5:10 pro.(1cement 5sand:10metal)using 40mm guage hard granite hand broken metal confirming in to IS 383-1970 in foundation and for bed of flooring including machine mixing,deposing in position,rammi- ng,finishing curing including all incidental opaerational and cost and conveyanec of all labour and material at site of work complete as directed by the Engineer-in Charge Long walls Short wall West side wall Flooring concrete Deduct wall",
Labour charges for chisselling the damaged brick masonary with cement mortor and disposing the same to far off distance including hire charges of scaffolding cost and conveyance of all labour and materials at site of work complete For old walls For pipe line,
Labour charges for making the hole brick masonary with cement mortor and disposing the same to far off distance including hire charges of scaffolding cost and conveyance of all labour and materials at site of work complete For toilets and bathroom,
"Rein forced brick masonary with bricks having a minimum crushing strenght of 35kg/sq.cm.as per IS1077-1976 in CM 1:4 pro.(1cement:4sand)in superstructure for 4 1/2""thick walls with 6mm dia.M.S rounds at every third layer including soaking of bricks,curing and all incidental operational, scaffolding and lift charges, cost and conveyance of all labour and material at site of work complete as directed by the Engineer-in- charge (excluding cost if steel binding wire and its fabrication) Long walls Short wall Deduction doors",
"Providing reinforecd cement concrete 1:2:4pro.(1cement:2sand :4metal) with a minimum strenght of M15 grade and crushing strenght of 150kg/sq.cm. with 20mm guage hard granite machin crushed metal including labour charge for machine mixing, centering, laying concrete,compacting,vibrating,rendering,fine finishing,curing confirming to IS 456-1978 including all inciden- denta,operational, scaffolding and cost and conveyance of all labour and material at site of work complete(excluding cost of stell,binding wire and its fabrication) with designed Tor steel reinforcement as directed by the Engineer-in-charge. Plinth beam Long wall Short wall Lintels Over both toilet door Over main door",
"Supply and fabrication of tor steel Fe 415 of Visakha / Tata steel/ Sail / Tirupathi TMT or any other ISI marked or ISO approved makes including cutting, bending, tying grills as per design, cost of binding wire, loading, unloading and transportation to the site of work including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. For plinth beam For lintels",
"Providing and Laying plain cement concrete 1:2:4 Pro. (1 cement:2sand:4metal) using 20mm gauge hard granite machine crushed metal including machine mixing, depositing in position, ramming, finishing, curing including all incidental operational and cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. For purlin pipes For doors",
Labour charges for chipping the damaged plastered surface including scaffolding disposing the debris for off distance hire charges of tools cost and conveyance of all labour and materials at site of work complete. North and south wall,
