description,unit
"Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared deta for roads and bridges). In gate side approch road up to platform",10m³
"2 Providing and laying of mechanically mixed unreinforced plain cement concrete pavement 200 / 150mm thick over a prepared sub base to the required level using 0.90 cum of course aggregate of 0.63 cum (70%) of 40mm size machine crushed hard granite metal & 0.27 cum (30%) of 12mm size machine crushed hard granite metal and 0.45 cum of pure river sand (fine aggregate) brought from approved qurries and using 350kgs of 43 grade (IS 8112)/53 grade (IS 12269) Cement for one Cubic Meter Cement Concrete quantity. The course and fine aggregate shall confriming to IS 383.The CC shall be laid in panels upto size 3.50M x 3.50M in line and level or slope, using admixture of approved quality at 0.50% by weight of cement. The Cement concrete shall be laid along approved fixed side steel form work, laying of seperation membrane of 125 micron thick polythene film between concrete slab and sub base duly fixing the membrane using wedges & steel plates and leveling the form work, machine mixing, spreading the concrete, compacted with needle plate and screed board vibrators for fine finishing to even surface and making grooves of 6mm x 50mm by using concrete joint cutting machine for intial & final cuts for Transverse / Contraction,racking the joints, applying debonding strips and providing departmental premoulded filler mastic pads of 12.70mm thick for a depth of 137.50mm for expansion joints for every 31.50mts distance and rounding off edges for transverse / Cntraction & Expansion joints after filling the joints with bitumen sealent along with bitumen primer as approved by the site incharge and using air compressor before and laying membnrace and after laying concrete and curing for 14 days including cost of all material including jute ropes etc. cost of all incidental, hire and operational charges of al machinery, cost of fuel, heating charges and tools & plants, seigniorage charges, cost for form work, cost of water for curing and concrete laying etc., complete as directed by the In gate side approch road up to",
"Providing and laying of mechanically mixed unreinforced plain cement concrete pavement 200 / 150mm thick over a prepared sub base to the required level using 0.90 cum of course aggregate of 0.63 cum (70%) of 40mm size machine crushed hard granite metal & 0.27 cum (30%) of 12mm size machine crushed hard granite metal and 0.45 cum of pure river sand (fine aggregate) brought from approved qurries and using 350kgs of 43 grade (IS 8112)/53 grade (IS 12269) Cement for one Cubic Meter Cement Concrete quantity. The course and fine aggregate shall confriming to IS 383.The CC shall be laid in panels upto size 3.50M x 3.50M in line and level or slope, using admixture of approved quality at 0.50% by weight of cement. The Cement concrete shall be laid along approved fixed side steel form work, laying of seperation membrane of 125 micron thick polythene film between concrete slab and sub base duly fixing the membrane using wedges & steel plates and leveling the form work, machine mixing, spreading the concrete, compacted with needle plate and screed board vibrators for fine finishing to even surface and making grooves of 6mm x 50mm by using concrete joint cutting machine for intial & final cuts for Transverse / Contraction,racking the joints, applying debonding strips and providing departmental premoulded filler mastic pads of 12.70mm thick for a depth of 137.50mm for expansion joints for every 31.50mts distance and rounding off edges for transverse / Cntraction & Expansion joints after filling the joints with bitumen sealent along with bitumen primer as approved by the site incharge and using air compressor before and laying membnrace and after laying concrete and curing for 14 days including cost of all material including jute ropes etc. cost of all incidental, hire and operational charges of al machinery, cost of fuel, heating charges and tools & plants, seigniorage charges, cost for form work, cost of water for curing and concrete laying etc., complete as directed by the In gate side approch road up to",
"Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared deta for roads and bridges). In gate side approch road up to",
"Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Wet mix plant 60TPH (HIR 00080) Electric generator set 125KVA (HIR00111) Front end loader 1 cum capacity (HIR0074) Paver finisher machanical 100 TPH (HIR00089) Vibratory roller 8-10 tonne capacity (HIR00089) Water tanker 6kl capacity (HIR00064) Cost of 225 cum of wet mix=a+b+c",
"Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Wet mix plant 60TPH (HIR 00080) Electric generator set 125KVA (HIR00111) Front end loader 1 cum capacity (HIR0074) Paver finisher machanical 100 TPH (HIR00089) Vibratory roller 8-10 tonne capacity (HIR00089) Water tanker 6kl capacity (HIR00064) Cost of 225 cum of wet mix=a+b+c",
"Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Wet mix plant 60TPH (HIR 00080) Electric generator set 125KVA (HIR00111) Front end loader 1 cum capacity (HIR0074) Paver finisher machanical 100 TPH (HIR00089) Vibratory roller 8-10 tonne capacity (HIR00089) Water tanker 6kl capacity (HIR00064) Cost of 225 cum of wet mix=a+b+c",
"Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Front end loader 1 cum capacity Paver finisher machanical 100 TPH Vibratory roller 8-10 tonne capacity Cost of 225 cum of wet mix=a+b+c Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Wet mix plant 60TPH (HIR 00080) Electric generator set 125KVA (HIR00111) Front end loader 1 cum capacity (HIR0074) Paver finisher machanical 100 TPH (HIR00089) Vibratory roller 8-10 tonne capacity (HIR00089) Water tanker 6kl capacity (HIR00064) Cost of 225 cum of wet mix=a+b+c",
"Providing, laying,spreading and compacting graded HBG Crushed stone aggregate Wet Mix Macadam specification(5th Revision)as for Table 400-13 (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges). Taking out foot =225Cum(495 tonne) Wet mix plant 60TPH (HIR 00080) Electric generator set 125KVA (HIR00111) Front end loader 1 cum capacity (HIR0074) Paver finisher machanical 100 TPH (HIR00089) Vibratory roller 8-10 tonne capacity (HIR00089) Water tanker 6kl capacity (HIR00064) Cost of 225 cum of wet mix=a+b+c",
"2 Whiting two coats to celling including cost of gum,gunjee water labour charges for thoroughlyl brushing the surface remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labor and materials at site of work complete.",10 sqm
Painting to old walls with synthetic enamel paint in two coats of approved quality and colour in including cleaning the surface cost and conveyance of all labour and materials at site of work complete.,
"structrual repairs to the ceiling of RCC slab duly chipping with matic power chiselling equipment and until to achieve the hard mother concrete, cleaning the surface, cleaning the surface ,cleaning the steel reinforcement with sand paper and iron brushes for removing of rust, applying anti corrossive paint of FOSROCK make ,applying bonding agent of FOSROCK make ,applying bonding agent of FOSROCK, strethening the ceilling with CC 1:1.5:3 prop. Using 6mm down graded HGMC metal 40mm thick average thickness using construction chemicals and redoing the ceilling with cement plastering 12 mm thick in CM 1:3 & 1:5 with neat sponge finish, including curing,scaffolding arrangements at different places cost of chemicals, all incidental,operational,cost and conveyance of all labour and materials at site of work",1m2
"Cement plastering to celling in CM 1:5 & CM 1:3 prop(1cement:5sand) & (1 cement:3 sand)of 12 mm thick including cleaning the surface, cost of curing,scaffolding,lift,all incidental,and operational charges, cost and conveyance of all labour and materials at site of work complete",10m2
"2 Removing of damaged brick masonary walls cement mortar and stacking the useful materials for reuse and disposing the debris to a far off distance,all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer- in -",1 Cum
"Removing of damaged brick masonary walls cement mortar and stacking the useful materials for reuse and disposing the debris to a far off distance,all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer- in -",1 Cum
"Providing and laying plain cement concrete 1:4:8 pro.(1cement 4sand:8metal) using 40 mm guage hard granite hand broken metal including machine mixing,deposing in position,ramming finishing curing including all incidental opaerational and cost and conveyanec of all labour and material at site of work complete as directed by the Engineer-in Charge",1 Nos
Removing of damaged wooden door with frame from brick wall stacking including cost and conveyance of all labour and materials,1 Nos
Removing of damaged WC with 'P' & 'S' trap including cost and cost and conveyance of all labour and materials at site of work,1 Nos
"Cement plastering in CM 1:3 prop (1 cement:3 sand) of 20 mm thick including Fine rendering and smooth finishing, curing, cleaning the surface including all incidental,and operational, scaffolding, lift and seigniorage charges, cost and conveyance of all labour and materials at site of work complete as directed by the E-IN-C.",10 Sqm
"Structural repairs to the RCC to surface to arrest leakages duly chipping with pneumatic poer chiselling equipment and until to achieve the hard mother concrete surface. Duly removing of debries cleaning of the surface from dirt and other foreign maters & water jet cleaning ,applying acrylic based bonding adhesive (Mix 1:1 ratio if cement)agent of FOSROC make,appling high strengh cement concrete flooring of 50mm thick average with C.C.1:1.5:3 pro using 12 mm down graded HGMC metal mixing with Concrete plastering and water reducing admixture 15-20 ml per bag of 50 kgs of cement including mixing, depositing, finishing in line,level and required slope including curring scaffolding arrangements, cost of construction chemicals, all incidental, operational, cost and conveyance of all labor and materials at site of work",1 Sqm
"Whiting two coats to celling including cost of gum,gunjee water, labour charges for thoroughlyl brushing the surface remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labor and materials at site of work complete.",10 Sqm
"Whiting washing two coats to walls including cost of gum,gunjee water labour charges for thoroughlyl brushing the surface remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labor and materials at site of work complete.",10 Sqm
"2 Structural repairs to the celling of RCC slab duly chipping with pneumatic power chiselling equipment and until to achive the hard mother concrete, cleaning the surface ,cleaning of steel reinforcement with sand paper and Iron brushes for removing of rust,applying Anti corresive paint of FOSROCK make,applying bonding agent of FOAROCK make, strengthening the celling with C.C.1:1.5:3 pro using 6 mm down graded HGMC metal 40 mm thick average thickness using construction chemicals and redoing the ceilling with cement plastering 6 mm thick in C.M 1:3 & 1:5 pro with neat finish, including curing, scaffolding arrangement at different places, cost of construction chemucal all incidental, operational,seignorage charges, cost and conveyance of all labour and materials at site of work complete.(G.F) Plat form no.29 ceilling patches",
"Structural repairs to the celling of RCC slab duly chipping with pneumatic power chiselling equipment and until to achive the hard mother concrete, cleaning the surface ,cleaning of steel reinforcement with sand paper and Iron brushes for removing of rust,applying Anti corresive paint of FOSROCK make,applying bonding agent of FOAROCK make, strengthening the celling with C.C.1:1.5:3 pro using 6 mm down graded HGMC metal 40 mm thick average thickness using construction chemicals and redoing the ceilling with cement plastering 6 mm thick in C.M 1:3 & 1:5 pro with neat finish, including curing, scaffolding arrangement at different places, cost of construction chemucal all incidental, operational,seignorage charges, cost and conveyance of all labour and materials at site of work complete.(G.F) Plat form no.29 ceilling patches",
Whittening to celling two coats R.C.C slab and R C parada wall including cost and conveyance of all labour and materials at site of work complete Upto 3.66,10 Sqm
"2 Construction of binding wall in brick masonry in CM 1:6 prop. to a thickness of 1'-1/2"" - 0'-9'' and cement plastering to sides in CM 1:6 prop.1/2"" thick, including scaffolding, lift charges seignorage charges including cost and conveyance of all labour and materials at site of work complete. As directed by the office -west side -of galvalume",1 Rm
"Stuctural repairs by providing to the corner of terrace and parapet wall to arrest dampness and leakage duly cleaning and chipping with pneumatic power chiselling equipmpment and until to achieve the hard mother concrete surface and brick masonary plastered surface duly removing of debris cleaning of the surface from dirt and other foreign matters & water jet cleaning, applying styrene butadiene rubber based bonding agent for Mortar/Concrete(Mix 1:1 ratio of cement) agent complies ASTM D454/BS EN 12390 , appliyng hogn strenght cement concrete flooring with C.C.1:1.5:3 prop. Using 12 mm down graded HGMC metal mixing with concrete repair admixtures and water reducting admixture 1 to 2ltrs per bag of 50kgs of cement including mixing, desposting, finishing in line, level and required shape including curing, cost of construction chemicals all incidental, operational, seignorage charges, cost and conveyance of all labour and matrials at site of work complete.",
"Labour charges for applying chemicals for arresting leakage two coats to binding wall including labour charges for thoroughtly brushing the surface to remove all dirt and remains of loose powereded materials including putty cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc.., complete for finished item of work as directed by the Engineer - In - Charges.",1 Sqm
"2 Cleaning of Jungle 'Scrub Jungle/ Light Jungle including hire charges of knifes and tools and scaffolding charges etc.., including cost and conveyance of all labour and materials at site of work complete as directed by E-in-C North side compound wall bottom Along compound wall land at North",1 Sqm
"Cleaning of Jungle 'Scrub Jungle/ Light Jungle including hire charges of knifes and tools and scaffolding charges etc.., including cost and conveyance of all labour and materials at site of work complete as directed by E-in-C North side compound wall bottom Along compound wall land at North",1 Sqm
"Supply and fixing of PVC pipes along with Specials including cost and conveyance of all labour and materials at site work complete (a)Horizontal pipe line along with 7'-0"" vertical connection from new line",1 Rm
"2 Earth work excavation in all kind of soils wet or dry such as clay hard clay, black cotton soil, red earth, moorum,gravel etc., in loose and slushy condition except rock requiring blasting for fondation of walls and column footings including bailing out of water (pumping out water if necessary)with necessary site clearence, marking out temporary steping, slopping, shoring strutting ,sectioning, tamping as directed with an initial lead of 10 m and lift of 2m complete as directed by the engineer-in-Charge.",1.98m³
"Bricks masonary with brick for any thickness of walls in C.M 1:5pro.(1cement:5sand)including soaking of brick all incidental, operational, scaffolding,curing chargecost and conveyance of all labour and material at site of work complete as directed by the Engineer-in-charge (ground floor upto a height of 12'0""",14.80m³
"Providing reinforecd cement concrete 1:2:4pro.(1cement:2sand :4metal) with a minimum strenght of M15 grade and crushing strenght of 150kg/sq.cm. with 20mm guage hard granite machin crushed metal including labour charge for machine mixing, centering, laying concrete,compacting,vibrating,rendering,fine finishing,curing confirming to IS 456-1978 including all inciden- denta,operational, scaffolding and cost and conveyance of all labour and material at site of work complete(excluding cost of stell,binding wire and its fabrication) with designed Tor steel reinforcement as dorected by the Engineer-in-charge.",
"Cement plastering in CM 1:5 prop (1 cement:5 sand) of 20 mm thick including Fine rendering and smooth finishing, curing, cleaning the surface including all incidental,and operational, scaffolding, lift and seigniorage charges, cost and conveyance of all labour and materials at site of work complete as directed by the E-IN-C.",12.50m²
"Cement plastering in CM 1:3 prop (1 cement:3 sand) of 12 mm thick including Fine rendering and smooth finishing, curing, cleaning the surface including all incidental,and operational, scaffolding, lift and seigniorage charges, cost and conveyance of all labour and materials at site of work complete as directed by the E-IN-C.",17.33m²
"Supply and fixing of 60.30mm OD MS pipe @ 5.03 Kg / Rm including cutting, welding, fixing in position scaffolding charges, hire charges of T & P including cost and conveyance of all labour and mateials at site of work complete as directed by the Engineer-in-Charge.",10.41Rm
"Supply & fixing of prepainted galvalume trapezoidal profile roofing sheets with 0.50mm thickness, coating : Alu Zink coating AZ 150 GSM, tensile strength : 550MPA. Paint coating : regular modified polyster painting. Painting thickness (top) : 18 to 20 microns, (bottom) : 5 to 7 microns. Sheet width - 1.020 Mts., length : maximum 12Mts. with regular range colours including scaffolding charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Galvalume sheet for Booking room Construction of binding wall in brick masonry in CM 1:6 prop. to a thickness of 1'-1/2"" - 0'-9'' and cement plastering to sides in CM 1:6 prop.1/2"" thick, including scaffolding, lift charges seignorage charges including cost and conveyance of all labour and materials at site of work complete. As directed by the",10.41Rm
"Providing and fixing factory made UPVC white colour sliding glazed window upto 1.50 mts in height dimension compressing of UPVC multi chambered frame within built roller track sash extuded profiles duly reinforce with 1.60± 0.2mm thick galvanized mild steel section made from roll forming process of required lenght(shape & size according to UPVC profile),appropriate dimension UPVC extruded glazing beads and UPVC extruded interlock, EPDM gasket, wool pie, zincalloy (white powder coated)touch locks with hooks, zinc alloy body with single nylon rollers (weight bearing capacity to be 40kg) GI fasteners 100x8mm size for fixing frame to finished wall and necessary stainless screws etc,. profile of frame and sash shall be mitred cut and fusion welded at all corners, including drilling of holes for fixing hardware's and drainage ofwater etc. After fixing frame the gap between frame and adjacent finishedwall shall be filled with weather proof silicon sealent over backer rod ofrequired size and of approved quality, all complete as per approved drawing & direction of Engineer-in-Charge inclusive of cost of Single / double glass panes, wire mesh and silicon sealent etc,. (SSR. 2023-24 Item No. BMT-p-80.B)",1.80m²
